day,sec,event,value
1,18631,measurement,
1,18631,battery,0.00
1,18631,charging,0
1,19232,measurement,
1,19232,battery,0.00
1,19232,charging,0
1,19833,measurement,
1,19833,battery,0.00
1,19833,charging,0
1,20434,measurement,
1,20434,battery,0.00
1,20434,charging,0
1,21035,measurement,
1,21035,battery,0.00
1,21035,charging,0
1,21636,measurement,
1,21636,battery,0.00
1,21636,charging,0
1,22237,measurement,
1,22237,battery,0.00
1,22237,charging,0
1,22838,measurement,
1,22838,battery,0.00
1,22838,charging,0
1,23439,measurement,
1,23439,battery,0.00
1,23439,charging,0
1,24040,measurement,
1,24040,battery,0.00
1,24040,charging,0
1,24641,measurement,
1,24641,battery,0.00
1,24641,charging,0
1,25242,measurement,
1,25242,battery,0.00
1,25242,charging,0
1,25843,measurement,
1,25843,battery,0.00
1,25843,charging,0
1,26444,measurement,
1,26444,battery,0.00
1,26444,charging,0
1,27045,measurement,
1,27045,battery,0.00
1,27045,charging,0
1,27646,measurement,
1,27646,battery,0.00
1,27646,charging,0
1,28247,measurement,
1,28247,battery,0.00
1,28247,charging,0
1,28848,measurement,
1,28848,battery,0.00
1,28848,charging,0
1,29449,measurement,
1,29449,battery,0.00
1,29449,charging,0
1,30050,measurement,
1,30050,battery,0.00
1,30050,charging,0
1,30651,measurement,
1,30651,battery,0.00
1,30651,charging,0
1,31252,measurement,
1,31252,battery,0.00
1,31252,charging,0
1,31853,measurement,
1,31853,battery,0.00
1,31853,charging,0
1,32454,measurement,
1,32454,battery,0.00
1,32454,charging,0
1,33055,measurement,
1,33055,battery,0.00
1,33055,charging,0
1,33656,measurement,
1,33656,battery,0.00
1,33656,charging,0
1,34257,measurement,
1,34257,battery,0.00
1,34257,charging,0
1,34858,measurement,
1,34858,battery,0.00
1,34858,charging,0
1,35459,measurement,
1,35459,battery,0.00
1,35459,charging,0
1,36060,measurement,
1,36060,battery,0.00
1,36060,charging,0
1,36661,measurement,
1,36661,battery,0.00
1,36661,charging,0
1,37262,measurement,
1,37262,battery,0.00
1,37262,charging,0
1,37863,measurement,
1,37863,battery,0.00
1,37863,charging,0
1,38464,measurement,
1,38464,battery,0.00
1,38464,charging,0
1,39065,measurement,
1,39065,battery,0.00
1,39065,charging,0
1,39666,measurement,
1,39666,battery,0.00
1,39666,charging,0
1,40267,measurement,
1,40267,battery,0.00
1,40267,charging,0
1,40868,measurement,
1,40868,battery,0.00
1,40868,charging,0
1,41469,measurement,
1,41469,battery,0.00
1,41469,charging,0
1,42070,measurement,
1,42070,battery,0.00
1,42070,charging,0
1,42671,measurement,
1,42671,battery,0.00
1,42671,charging,0
1,43272,measurement,
1,43272,battery,0.00
1,43272,charging,0
1,43873,measurement,
1,43873,battery,0.00
1,43873,charging,0
1,44474,measurement,
1,44474,battery,0.00
1,44474,charging,0
1,45075,measurement,
1,45075,battery,0.00
1,45075,charging,0
1,45676,measurement,
1,45676,battery,0.00
1,45676,charging,0
1,46277,measurement,
1,46277,battery,0.00
1,46277,charging,0
1,46878,measurement,
1,46878,battery,0.00
1,46878,charging,0
1,47479,measurement,
1,47479,battery,0.00
1,47479,charging,0
1,48080,measurement,
1,48080,battery,0.00
1,48080,charging,0
1,48681,measurement,
1,48681,battery,0.00
1,48681,charging,0
1,49282,measurement,
1,49282,battery,0.00
1,49282,charging,0
1,49883,measurement,
1,49883,battery,0.00
1,49883,charging,0
1,50484,measurement,
1,50484,battery,0.00
1,50484,charging,0
1,51085,measurement,
1,51085,battery,0.00
1,51085,charging,0
1,51686,measurement,
1,51686,battery,0.00
1,51686,charging,0
1,52287,measurement,
1,52287,battery,0.00
1,52287,charging,0
1,52888,measurement,
1,52888,battery,0.00
1,52888,charging,0
1,53489,measurement,
1,53489,battery,0.00
1,53489,charging,0
1,54090,measurement,
1,54090,battery,0.00
1,54090,charging,0
1,54691,measurement,
1,54691,battery,0.00
1,54691,charging,0
1,55292,measurement,
1,55292,battery,0.00
1,55292,charging,0
1,55893,measurement,
1,55893,battery,0.00
1,55893,charging,0
1,56494,measurement,
1,56494,battery,0.00
1,56494,charging,0
1,57095,measurement,
1,57095,battery,0.00
1,57095,charging,0
1,57696,measurement,
1,57696,battery,0.00
1,57696,charging,0
1,58297,measurement,
1,58297,battery,0.00
1,58297,charging,0
1,58898,measurement,
1,58898,battery,0.00
1,58898,charging,0
1,59499,measurement,
1,59499,battery,0.00
1,59499,charging,0
1,60100,measurement,
1,60100,battery,0.00
1,60100,charging,0
1,60701,measurement,
1,60701,battery,0.00
1,60701,charging,0
1,61302,measurement,
1,61302,battery,0.00
1,61302,charging,0
1,61903,measurement,
1,61903,battery,0.00
1,61903,charging,0
1,62504,measurement,
1,62504,battery,0.00
1,62504,charging,0
1,63105,measurement,
1,63105,battery,0.00
1,63105,charging,0
1,63706,measurement,
1,63706,battery,0.00
1,63706,charging,0
1,64307,measurement,
1,64307,battery,0.00
1,64307,charging,0
1,64908,measurement,
1,64908,battery,0.00
1,64908,charging,0
1,65509,measurement,
1,65509,battery,0.00
1,65509,charging,0
1,66110,measurement,
1,66110,battery,0.00
1,66110,charging,0
1,66711,measurement,
1,66711,battery,0.00
1,66711,charging,0
1,67312,measurement,
1,67312,battery,0.00
1,67312,charging,0
1,67913,measurement,
1,67913,battery,0.00
1,67913,charging,0
1,68514,measurement,
1,68514,battery,0.00
1,68514,charging,0
1,69115,measurement,
1,69115,battery,0.00
1,69115,charging,0
1,69716,measurement,
1,69716,battery,0.00
1,69716,charging,0
1,70317,measurement,
1,70317,battery,0.00
1,70317,charging,0
1,70918,measurement,
1,70918,battery,0.00
1,70918,charging,0
