,date,tank1,tank2,tank3,tank4,tank5,tank6,tank7,tank8
43,2023-04-21 11:00:00,26.77,37.885609756097644,31.09048780487795,30.370975609756073,38.578292682926836,0.0,50.97153846153848,0.0
44,2023-04-22 11:00:00,31.43,41.390487804878134,34.75878048780478,34.1782926829268,43.42951219512196,0.0,54.57923076923079,0.0
45,2023-04-23 11:00:00,36.09,44.895365853658625,38.4270731707316,37.98560975609753,48.28073170731708,0.0,58.1869230769231,0.0
46,2023-04-24 11:00:00,40.75,48.400243902439115,42.09536585365843,41.79292682926826,53.1319512195122,0.0,61.79461538461541,0.0
47,2023-04-25 11:00:00,45.41,51.905121951219606,45.763658536585254,45.60024390243899,57.983170731707325,0.0,65.40230769230772,0.0
48,2023-04-26 11:00:00,50.06999999999999,55.410000000000096,49.43195121951208,49.40756097560972,62.83439024390245,0.0,69.01000000000002,0.0
49,2023-04-27 11:00:00,29.42999999999999,0.0,38.30024390243891,23.914878048780448,42.58560975609756,0.0,22.11,22.11
50,2023-04-28 11:00:00,34.08999999999999,0.0,41.96853658536573,27.72219512195118,47.43682926829268,0.0,25.57923076923077,25.46341463414634
51,2023-04-29 11:00:00,38.749999999999986,0.0,45.63682926829256,31.529512195121914,52.288048780487806,0.0,29.048461538461538,28.81682926829268
52,2023-04-30 11:00:00,43.40999999999998,0.0,49.305121951219384,35.33682926829265,57.13926829268293,0.0,32.51769230769231,32.17024390243902
53,2023-05-01 11:00:00,48.06999999999998,0.0,52.97341463414621,39.144146341463376,61.99048780487805,0.0,35.98692307692308,35.52365853658536
54,2023-05-02 11:00:00,52.729999999999976,0.0,56.641707317073035,42.951463414634105,66.84170731707317,0.0,39.456153846153846,38.8770731707317
55,2023-05-03 11:00:00,57.38999999999997,0.0,60.30999999999986,46.758780487804835,71.69292682926829,0.0,42.925384615384615,42.23048780487804
56,2023-05-04 11:00:00,37.74999999999997,0.0,0.0,26.966097560975562,61.3441463414634,22.11,46.394615384615385,20.983902439024376
57,2023-05-05 11:00:00,42.40999999999997,0.0,0.0,30.773414634146295,66.19536585365852,25.453658536585365,49.863846153846154,24.337317073170716
58,2023-05-06 11:00:00,47.069999999999965,0.0,0.0,34.58073170731703,71.04658536585363,28.79731707317073,53.33307692307692,27.690731707317056
