day,sec,name,value
1,78130,1,776.00
1,78130,1,776.00
1,78130,0,782.00
1,78130,0,782.00
1,78130,0,782.00
1,78130,1,776.00
1,78130,0,782.00
1,78731,add,536871428
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,777.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,0,782.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,1,777.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,0,782.00
1,78731,0,783.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,add,536871556
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,777.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,0,782.00
1,78731,0,783.00
1,78731,1,776.00
1,78731,0,783.00
1,78731,0,782.00
1,78731,0,782.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,0,782.00
1,78731,1,777.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,1,776.00
1,78731,0,782.00
1,78731,0,783.00
1,78731,0,782.00
1,78731,1,776.00
1,78731,0,782.00
1,79332,add,536871428
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,0,783.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,0,782.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,add,536871556
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,783.00
1,79332,0,783.00
1,79332,0,783.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,0,783.00
1,79332,0,783.00
1,79332,0,783.00
1,79332,1,777.00
1,79332,0,783.00
1,79332,0,782.00
1,79332,1,777.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,1,776.00
1,79332,0,782.00
1,79332,0,782.00
1,79332,0,782.00
1,79332,1,776.00
1,79332,0,783.00
1,79933,add,536871428
1,79933,1,776.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,777.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,0,782.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,777.00
1,79933,1,777.00
1,79933,0,783.00
1,79933,1,777.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,0,782.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,782.00
1,79933,1,776.00
1,79933,add,536871556
1,79933,1,777.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,782.00
1,79933,1,776.00
1,79933,1,777.00
1,79933,1,776.00
1,79933,1,777.00
1,79933,0,783.00
1,79933,0,783.00
1,79933,0,782.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,0,783.00
1,79933,0,783.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,0,783.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,1,776.00
1,79933,0,782.00
1,79933,0,783.00
1,79933,0,782.00
1,79933,1,776.00
1,79933,0,783.00
1,80534,add,536871428
1,80534,1,777.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,782.00
1,80534,0,783.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,0,782.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,add,536871556
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,777.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,0,782.00
1,80534,1,776.00
1,80534,0,783.00
1,80534,1,776.00
1,80534,1,776.00
1,80534,1,777.00
1,80534,0,783.00
1,80534,0,783.00
1,80534,0,782.00
1,80534,1,777.00
1,80534,0,783.00
1,81135,add,536871428
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,777.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,777.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,0,782.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,777.00
1,81135,0,782.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,782.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,add,536871556
1,81135,1,777.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,777.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,0,782.00
1,81135,0,783.00
1,81135,0,782.00
1,81135,0,782.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,1,776.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,0,783.00
1,81135,1,776.00
1,81135,0,783.00
1,81736,add,536871428
1,81736,1,776.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,1,777.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,1,777.00
1,81736,0,783.00
1,81736,1,777.00
1,81736,1,777.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,1,777.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,1,777.00
1,81736,1,777.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,add,536871556
1,81736,1,776.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,1,777.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,1,777.00
1,81736,1,776.00
1,81736,0,782.00
