day,sec,event,value
2,3604,measurement,
2,3604,battery,3.91
2,3604,charging,1
2,4505,measurement,
2,4505,battery,3.92
2,4505,charging,1
2,5406,measurement,
2,5406,battery,3.92
2,5406,charging,1
2,6307,measurement,
2,6307,battery,3.91
2,6307,charging,1
2,7208,measurement,
2,7208,battery,3.92
2,7208,charging,1
2,8109,measurement,
2,8109,battery,3.91
2,8109,charging,1
2,9010,measurement,
2,9010,battery,3.91
2,9010,charging,1
2,9911,measurement,
2,9911,battery,3.90
2,9911,charging,1
2,10812,measurement,
2,10812,battery,3.90
2,10812,charging,1
2,11713,measurement,
2,11713,battery,3.90
2,11713,charging,1
2,12614,measurement,
2,12614,battery,3.90
2,12614,charging,0
2,13515,measurement,
2,13515,battery,3.89
2,13515,charging,1
2,14416,measurement,
2,14416,battery,3.89
2,14416,charging,1
2,15317,measurement,
2,15317,battery,3.89
2,15317,charging,1
2,16218,measurement,
2,16218,battery,3.89
2,16218,charging,1
2,17119,measurement,
2,17119,battery,3.89
2,17119,charging,1
2,18020,measurement,
2,18020,battery,3.89
2,18020,charging,1
2,18921,measurement,
2,18921,battery,3.89
2,18921,charging,1
2,19822,measurement,
2,19822,battery,3.88
2,19822,charging,1
2,20723,measurement,
2,20723,battery,3.88
2,20723,charging,1
2,21624,measurement,
2,21624,battery,3.88
2,21624,charging,0
2,22525,measurement,
2,22525,battery,3.88
2,22525,charging,1
2,23426,measurement,
2,23426,battery,3.88
2,23426,charging,0
2,24327,measurement,
2,24327,battery,3.88
2,24327,charging,0
2,25228,measurement,
2,25228,battery,3.87
2,25228,charging,0
2,26129,measurement,
2,26129,battery,3.87
2,26129,charging,0
2,27030,measurement,
2,27030,battery,3.87
2,27030,charging,0
2,27931,measurement,
2,27931,battery,3.87
2,27931,charging,0
2,28832,measurement,
2,28832,battery,3.87
2,28832,charging,0
2,29733,measurement,
2,29733,battery,3.87
2,29733,charging,0
2,30634,measurement,
2,30634,battery,3.87
2,30634,charging,0
2,31535,measurement,
2,31535,battery,3.86
2,31535,charging,0
2,32436,measurement,
2,32436,battery,3.86
2,32436,charging,0
2,33337,measurement,
2,33337,battery,3.86
2,33337,charging,0
2,34238,measurement,
2,34238,battery,3.86
2,34238,charging,0
2,35139,measurement,
2,35139,battery,3.86
2,35139,charging,0
2,36040,measurement,
2,36040,battery,3.86
2,36040,charging,0
2,36941,measurement,
2,36941,battery,3.86
2,36941,charging,0
2,37842,measurement,
2,37842,battery,3.86
2,37842,charging,0
2,38743,measurement,
2,38743,battery,3.85
2,38743,charging,0
2,39644,measurement,
2,39644,battery,3.85
2,39644,charging,0
2,40545,measurement,
2,40545,battery,3.85
2,40545,charging,0
2,41446,measurement,
2,41446,battery,3.85
2,41446,charging,0
2,42347,measurement,
2,42347,battery,3.85
2,42347,charging,0
2,43248,measurement,
2,43248,battery,3.85
2,43248,charging,0
2,44149,measurement,
2,44149,battery,3.85
2,44149,charging,0
2,45050,measurement,
2,45050,battery,3.85
2,45050,charging,0
2,45951,measurement,
2,45951,battery,3.85
2,45951,charging,0
2,46852,measurement,
2,46852,battery,3.85
2,46852,charging,0
2,47753,measurement,
2,47753,battery,3.85
2,47753,charging,0
2,48654,measurement,
2,48654,battery,3.84
2,48654,charging,0
2,49555,measurement,
2,49555,battery,3.84
2,49555,charging,0
2,50456,measurement,
2,50456,battery,3.84
2,50456,charging,0
2,51357,measurement,
2,51357,battery,3.84
2,51357,charging,0
2,52258,measurement,
2,52258,battery,3.84
2,52258,charging,0
2,53159,measurement,
2,53159,battery,3.84
2,53159,charging,0
2,54060,measurement,
2,54060,battery,3.84
2,54060,charging,0
2,54961,measurement,
2,54961,battery,3.84
2,54961,charging,0
2,55862,measurement,
2,55862,battery,3.83
2,55862,charging,0
2,56763,measurement,
2,56763,battery,3.83
2,56763,charging,0
2,57664,measurement,
2,57664,battery,3.83
2,57664,charging,0
2,58565,measurement,
2,58565,battery,3.83
2,58565,charging,0
2,59466,measurement,
2,59466,battery,3.83
2,59466,charging,0
2,60367,measurement,
2,60367,battery,3.83
2,60367,charging,0
2,61268,measurement,
2,61268,battery,3.82
2,61268,charging,0
2,62169,measurement,
2,62169,battery,3.82
2,62169,charging,0
2,63070,measurement,
2,63070,battery,3.83
2,63070,charging,0
2,63971,measurement,
2,63971,battery,3.83
2,63971,charging,0
2,64872,measurement,
2,64872,battery,3.82
2,64872,charging,0
2,65773,measurement,
2,65773,battery,3.82
2,65773,charging,0
2,66674,measurement,
2,66674,battery,3.82
2,66674,charging,1
2,67575,measurement,
2,67575,battery,3.82
2,67575,charging,1
2,68476,measurement,
2,68476,battery,3.82
2,68476,charging,1
2,69377,measurement,
2,69377,battery,3.82
2,69377,charging,1
2,70278,measurement,
2,70278,battery,3.82
2,70278,charging,1
2,71179,measurement,
2,71179,battery,3.82
2,71179,charging,1
2,72080,measurement,
2,72080,battery,3.82
2,72080,charging,1
2,72981,measurement,
2,72981,battery,3.82
2,72981,charging,1
2,73882,measurement,
2,73882,battery,3.82
2,73882,charging,1
2,74783,measurement,
2,74783,battery,3.82
2,74783,charging,1
2,75684,measurement,
2,75684,battery,3.82
2,75684,charging,1
2,76585,measurement,
2,76585,battery,3.82
2,76585,charging,0
2,77486,measurement,
2,77486,battery,3.82
2,77486,charging,1
2,78387,measurement,
2,78387,battery,3.82
2,78387,charging,0
2,79288,measurement,
2,79288,battery,3.83
2,79288,charging,1
2,80189,measurement,
2,80189,battery,3.83
2,80189,charging,1
2,81090,measurement,
2,81090,battery,3.83
2,81090,charging,1
2,81991,measurement,
2,81991,battery,3.83
2,81991,charging,1
2,82892,measurement,
2,82892,battery,3.83
2,82892,charging,1
2,83793,measurement,
2,83793,battery,3.83
2,83793,charging,1
2,84694,measurement,
2,84694,battery,3.83
2,84694,charging,1
2,85595,measurement,
2,85595,battery,3.83
2,85595,charging,1
3,0,measurement,
3,0,battery,3.84
3,0,charging,1
3,901,measurement,
3,901,battery,3.84
3,901,charging,1
3,1802,measurement,
3,1802,battery,3.84
3,1802,charging,1
3,2703,measurement,
3,2703,battery,3.84
3,2703,charging,1
3,3604,measurement,
3,3604,battery,3.84
3,3604,charging,1
3,4505,measurement,
3,4505,battery,3.84
3,4505,charging,1
3,5406,measurement,
3,5406,battery,3.84
3,5406,charging,1
3,6307,measurement,
3,6307,battery,3.84
3,6307,charging,1
3,7208,measurement,
3,7208,battery,3.84
3,7208,charging,1
3,8109,measurement,
3,8109,battery,3.83
3,8109,charging,1
3,9010,measurement,
3,9010,battery,3.83
3,9010,charging,1
3,9911,measurement,
3,9911,battery,3.83
3,9911,charging,1
3,10812,measurement,
3,10812,battery,3.82
3,10812,charging,0
3,11713,measurement,
3,11713,battery,3.82
3,11713,charging,1
3,12614,measurement,
3,12614,battery,3.82
3,12614,charging,1
3,13515,measurement,
3,13515,battery,3.82
3,13515,charging,1
3,14416,measurement,
3,14416,battery,3.82
3,14416,charging,1
3,15317,measurement,
3,15317,battery,3.82
3,15317,charging,1
3,16218,measurement,
3,16218,battery,3.81
3,16218,charging,1
3,17119,measurement,
3,17119,battery,3.81
3,17119,charging,1
3,18020,measurement,
3,18020,battery,3.81
3,18020,charging,1
3,18921,measurement,
3,18921,battery,3.81
3,18921,charging,1
3,19822,measurement,
3,19822,battery,3.81
3,19822,charging,1
3,20723,measurement,
3,20723,battery,3.81
3,20723,charging,1
3,21624,measurement,
3,21624,battery,3.81
3,21624,charging,1
3,22525,measurement,
3,22525,battery,3.81
3,22525,charging,1
3,23426,measurement,
3,23426,battery,3.81
3,23426,charging,0
3,24327,measurement,
3,24327,battery,3.81
3,24327,charging,0
3,25228,measurement,
3,25228,battery,3.82
3,25228,charging,0
3,26129,measurement,
3,26129,battery,3.82
3,26129,charging,0
3,27030,measurement,
3,27030,battery,3.81
3,27030,charging,0
3,27931,measurement,
3,27931,battery,3.81
3,27931,charging,0
3,28832,measurement,
3,28832,battery,3.82
3,28832,charging,0
3,29733,measurement,
3,29733,battery,3.81
3,29733,charging,0
3,30634,measurement,
3,30634,battery,3.81
3,30634,charging,0
3,31535,measurement,
3,31535,battery,3.82
3,31535,charging,0
3,32436,measurement,
3,32436,battery,3.81
3,32436,charging,0
3,33337,measurement,
3,33337,battery,3.81
3,33337,charging,0
3,34238,measurement,
3,34238,battery,3.81
3,34238,charging,0
3,35139,measurement,
3,35139,battery,3.81
3,35139,charging,0
3,36040,measurement,
3,36040,battery,3.81
3,36040,charging,0
3,36941,measurement,
3,36941,battery,3.81
3,36941,charging,0
3,37842,measurement,
3,37842,battery,3.81
3,37842,charging,0
3,38743,measurement,
3,38743,battery,3.81
3,38743,charging,0
3,39644,measurement,
3,39644,battery,3.82
3,39644,charging,0
3,40545,measurement,
3,40545,battery,3.81
3,40545,charging,0
3,41446,measurement,
3,41446,battery,3.81
3,41446,charging,0
3,42347,measurement,
3,42347,battery,3.81
3,42347,charging,0
3,43248,measurement,
3,43248,battery,3.81
3,43248,charging,0
3,44149,measurement,
3,44149,battery,3.81
3,44149,charging,0
3,45050,measurement,
3,45050,battery,3.81
3,45050,charging,0
3,45951,measurement,
3,45951,battery,3.81
3,45951,charging,0
3,46852,measurement,
3,46852,battery,3.82
3,46852,charging,0
3,47753,measurement,
3,47753,battery,3.81
3,47753,charging,0
3,48654,measurement,
3,48654,battery,3.81
3,48654,charging,0
3,49555,measurement,
3,49555,battery,3.81
3,49555,charging,0
3,50456,measurement,
3,50456,battery,3.81
3,50456,charging,0
3,51357,measurement,
3,51357,battery,3.81
3,51357,charging,0
3,52258,measurement,
3,52258,battery,3.81
3,52258,charging,0
3,53159,measurement,
3,53159,battery,3.81
3,53159,charging,0
3,54060,measurement,
3,54060,battery,3.82
3,54060,charging,0
3,54961,measurement,
3,54961,battery,3.81
3,54961,charging,0
3,55862,measurement,
3,55862,battery,3.80
3,55862,charging,0
3,56763,measurement,
3,56763,battery,3.81
3,56763,charging,0
3,57664,measurement,
3,57664,battery,3.81
3,57664,charging,0
3,58565,measurement,
3,58565,battery,3.81
3,58565,charging,0
3,59466,measurement,
3,59466,battery,3.81
3,59466,charging,0
3,60367,measurement,
3,60367,battery,3.81
3,60367,charging,0
3,61268,measurement,
3,61268,battery,3.80
3,61268,charging,0
3,62169,measurement,
3,62169,battery,3.82
3,62169,charging,0
3,63070,measurement,
3,63070,battery,3.81
3,63070,charging,0
3,63971,measurement,
3,63971,battery,3.81
3,63971,charging,0
3,64872,measurement,
3,64872,battery,3.80
3,64872,charging,0
3,65773,measurement,
3,65773,battery,3.81
3,65773,charging,1
3,66674,measurement,
3,66674,battery,3.81
3,66674,charging,1
3,67575,measurement,
3,67575,battery,3.80
3,67575,charging,1
3,68476,measurement,
3,68476,battery,3.82
3,68476,charging,1
3,69377,measurement,
3,69377,battery,3.80
3,69377,charging,1
3,70278,measurement,
3,70278,battery,3.80
3,70278,charging,1
3,71179,measurement,
3,71179,battery,3.80
3,71179,charging,1
3,72080,measurement,
3,72080,battery,3.81
3,72080,charging,1
3,72981,measurement,
3,72981,battery,3.81
3,72981,charging,1
3,73882,measurement,
3,73882,battery,3.80
3,73882,charging,1
3,74783,measurement,
3,74783,battery,3.80
3,74783,charging,1
3,75684,measurement,
3,75684,battery,3.80
3,75684,charging,1
3,76585,measurement,
3,76585,battery,3.80
3,76585,charging,1
3,77486,measurement,
3,77486,battery,3.80
3,77486,charging,1
3,78387,measurement,
3,78387,battery,3.82
3,78387,charging,1
3,79288,measurement,
3,79288,battery,3.80
3,79288,charging,1
3,80189,measurement,
3,80189,battery,3.81
3,80189,charging,1
3,81090,measurement,
3,81090,battery,3.80
3,81090,charging,1
3,81991,measurement,
3,81991,battery,3.71
3,81991,charging,1
3,82892,measurement,
3,82892,battery,3.71
3,82892,charging,1
3,83793,measurement,
3,83793,battery,3.71
3,83793,charging,1
3,84694,measurement,
3,84694,battery,3.72
3,84694,charging,1
3,85595,measurement,
3,85595,battery,3.72
3,85595,charging,1
4,0,measurement,
